t,x,y
0.000,-1.444,0.991
0.033,-1.439,0.988
0.067,-1.422,0.994
0.100,-1.405,1.000
0.133,-1.387,1.005
0.167,-1.370,1.010
0.200,-1.353,1.014
0.233,-1.337,1.018
0.267,-1.319,1.021
0.300,-1.303,1.024
0.333,-1.287,1.025
0.367,-1.270,1.027
0.400,-1.254,1.029
0.433,-1.238,1.030
0.467,-1.221,1.030
0.500,-1.206,1.030
0.533,-1.189,1.030
0.567,-1.173,1.029
0.600,-1.156,1.029
0.633,-1.140,1.027
0.667,-1.123,1.025
0.700,-1.106,1.025
0.733,-1.089,1.023
0.767,-1.071,1.022
0.800,-1.054,1.020
0.833,-1.036,1.019
0.867,-1.019,1.018
0.900,-1.001,1.016
0.933,-0.982,1.015
0.967,-0.965,1.013
1.000,-0.947,1.010
1.033,-0.929,1.008
1.067,-0.911,1.003
1.100,-0.892,1.000
1.133,-0.873,0.996
1.167,-0.854,0.993
1.200,-0.833,0.988
1.233,-0.814,0.984
1.267,-0.795,0.979
1.300,-0.776,0.974
1.333,-0.757,0.969
1.367,-0.738,0.962
1.400,-0.719,0.955
1.433,-0.700,0.950
1.467,-0.681,0.943
1.500,-0.662,0.936
1.533,-0.644,0.929
1.567,-0.625,0.922
1.600,-0.604,0.918
1.633,-0.582,0.912
1.667,-0.559,0.908
1.700,-0.535,0.908
1.733,-0.511,0.908
1.767,-0.486,0.908
1.800,-0.462,0.911
1.833,-0.438,0.915
1.867,-0.414,0.919
1.900,-0.392,0.922
1.933,-0.372,0.925
1.967,-0.353,0.927
2.000,-0.337,0.929
2.033,-0.320,0.929
2.067,-0.304,0.927
2.100,-0.287,0.925
2.133,-0.271,0.920
2.167,-0.254,0.915
2.200,-0.240,0.913
2.233,-0.226,0.906
2.267,-0.212,0.898
2.300,-0.198,0.889
2.333,-0.183,0.882
2.367,-0.169,0.875
2.400,-0.157,0.870
2.433,-0.143,0.865
2.467,-0.129,0.858
2.500,-0.117,0.854
2.533,-0.106,0.847
2.567,-9.377E-2,0.842
2.600,-8.406E-2,0.839
2.633,-7.267E-2,0.835
2.667,-6.296E-2,0.832
2.700,-5.335E-2,0.828
2.733,-4.411E-2,0.823
2.767,-3.469E-2,0.821
2.800,-2.559E-2,0.818
2.833,-1.822E-2,0.814
2.867,-9.015E-3,0.814
2.900,-1.887E-3,0.811
2.933,5.021E-3,0.809
2.967,1.212E-2,0.809
3.000,1.715E-2,0.802
3.033,2.380E-2,0.802
3.067,2.873E-2,0.799
3.100,3.336E-2,0.797
3.133,3.806E-2,0.797
3.167,4.093E-2,0.790
3.200,4.538E-2,0.792
3.233,4.792E-2,0.788
3.267,5.207E-2,0.790
3.300,5.533E-2,0.790
3.333,5.741E-2,0.790
3.367,6.014E-2,0.792
3.400,6.426E-2,0.797
3.433,6.680E-2,0.797
3.467,7.148E-2,0.804
3.500,7.627E-2,0.811
3.533,8.075E-2,0.816
3.567,8.567E-2,0.823
3.600,9.056E-2,0.828
3.633,9.714E-2,0.837
3.667,0.102,0.842
3.700,0.109,0.851
3.733,0.116,0.861
3.767,0.124,0.868
3.800,0.131,0.875
3.833,0.140,0.884
3.867,0.150,0.893
3.900,0.159,0.901
3.933,0.168,0.908
3.967,0.178,0.915
4.000,0.190,0.924
4.033,0.201,0.932
4.067,0.213,0.939
4.100,0.227,0.948
4.133,0.240,0.955
4.167,0.253,0.962
4.200,0.267,0.969
4.233,0.281,0.974
4.267,0.295,0.979
4.300,0.310,0.983
4.333,0.326,0.988
4.367,0.343,0.993
4.400,0.360,0.997
4.433,0.378,1.000
4.467,0.397,1.005
4.500,0.416,1.007
4.533,0.433,1.007
4.567,0.454,1.009
4.600,0.475,1.012
4.633,0.496,1.012
4.667,0.515,1.010
4.700,0.536,1.009
4.733,0.560,1.009
4.767,0.581,1.007
4.800,0.604,1.005
4.833,0.628,1.005
4.867,0.649,1.000
4.900,0.675,1.000
4.933,0.699,0.998
4.967,0.723,0.995
5.000,0.746,0.991
5.033,0.772,0.988
5.067,0.798,0.986
5.100,0.824,0.983
5.133,0.850,0.979
5.167,0.875,0.974
5.200,0.899,0.967
5.233,0.926,0.962
5.267,0.952,0.957
5.300,0.977,0.951
5.333,1.006,0.948
5.367,1.034,0.943
5.400,1.062,0.938
5.433,1.088,0.929
5.467,1.117,0.924
5.500,1.143,0.917
5.533,1.171,0.910
5.567,1.197,0.901
5.600,1.225,0.894
5.633,1.247,0.877
5.667,1.275,0.870
5.700,1.304,0.863
5.733,1.334,0.856
5.767,1.367,0.851
5.800,1.397,0.844
5.833,1.430,0.840
5.867,1.464,0.835
5.900,1.497,0.830
5.933,1.530,0.825
