t,x,y
0.400,-0.893,0.293
0.433,-0.855,0.305
0.467,-0.822,0.314
0.500,-0.789,0.324
0.533,-0.756,0.333
0.567,-0.723,0.342
0.600,-0.697,0.349
0.633,-0.669,0.356
0.667,-0.643,0.362
0.700,-0.615,0.368
0.733,-0.591,0.371
0.767,-0.567,0.375
0.800,-0.544,0.377
0.833,-0.523,0.378
0.867,-0.501,0.379
0.900,-0.482,0.379
0.933,-0.461,0.378
0.967,-0.443,0.376
1.000,-0.424,0.372
1.033,-0.407,0.368
1.067,-0.390,0.363
1.100,-0.374,0.356
1.133,-0.360,0.350
1.167,-0.346,0.341
1.200,-0.331,0.332
1.233,-0.318,0.323
1.267,-0.306,0.313
1.300,-0.294,0.302
1.333,-0.284,0.291
1.367,-0.274,0.279
1.400,-0.265,0.267
1.433,-0.256,0.254
1.467,-0.244,0.242
1.500,-0.235,0.226
1.533,-0.226,0.209
1.567,-0.214,0.189
1.600,-0.199,0.172
1.633,-0.187,0.161
1.667,-0.178,0.151
1.700,-0.171,0.144
1.733,-0.164,0.137
1.767,-0.159,0.132
1.800,-0.152,0.125
1.833,-0.148,0.118
1.867,-0.143,0.108
1.900,-0.138,9.713E-2
1.933,-0.138,8.516E-2
1.967,-0.136,7.556E-2
2.000,-0.133,6.650E-2
2.033,-0.131,5.974E-2
2.067,-0.130,5.702E-2
2.100,-0.129,5.455E-2
2.133,-0.129,5.181E-2
2.167,-0.129,4.939E-2
2.200,-0.128,4.553E-2
2.233,-0.128,4.330E-2
2.267,-0.128,4.307E-2
2.300,-0.127,4.085E-2
2.333,-0.127,3.945E-2
2.367,-0.126,3.887E-2
2.400,-0.126,3.780E-2
2.433,-0.126,3.764E-2
2.467,-0.126,3.793E-2
2.500,-0.127,3.738E-2
2.533,-0.126,3.674E-2
2.567,-0.125,3.669E-2
2.600,-0.126,3.619E-2
2.633,-0.126,3.614E-2
2.667,-0.126,3.580E-2
2.700,-0.126,3.498E-2
2.733,-0.126,3.507E-2
2.767,-0.127,3.481E-2
2.800,-0.127,3.488E-2
2.833,-0.127,3.516E-2
2.867,-0.126,3.515E-2
2.900,-0.128,3.465E-2
2.933,-0.128,3.455E-2
2.967,-0.128,3.485E-2
3.000,-0.128,3.598E-2
3.033,-0.128,3.607E-2
3.067,-0.128,3.610E-2
3.100,-0.128,3.590E-2
3.133,-0.128,3.577E-2
3.167,-0.128,3.586E-2
3.200,-0.129,3.577E-2
3.233,-0.129,3.587E-2
3.267,-0.128,3.586E-2
3.300,-0.128,3.605E-2
3.333,-0.128,3.616E-2
3.367,-0.128,3.616E-2
3.400,-0.128,3.636E-2
3.433,-0.128,3.639E-2
3.467,-0.127,3.570E-2
3.500,-0.126,3.611E-2
3.533,-0.126,3.627E-2
3.567,-0.126,3.657E-2
3.600,-0.126,3.805E-2
3.633,-0.126,3.850E-2
3.667,-0.126,3.996E-2
3.700,-0.126,4.025E-2
3.733,-0.126,4.228E-2
3.767,-0.126,4.271E-2
3.800,-0.125,4.319E-2
3.833,-0.124,4.260E-2
3.867,-0.123,4.332E-2
3.900,-0.124,4.426E-2
3.933,-0.123,4.431E-2
3.967,-0.121,4.545E-2
4.000,-0.119,4.549E-2
4.033,-0.117,4.577E-2
4.067,-0.115,4.697E-2
4.100,-0.112,4.871E-2
4.133,-0.109,4.997E-2
4.167,-0.105,5.032E-2
4.200,-0.102,5.225E-2
4.233,-9.841E-2,5.347E-2
4.267,-9.367E-2,5.439E-2
4.300,-8.881E-2,5.491E-2
4.333,-8.382E-2,5.646E-2
4.367,-7.940E-2,5.697E-2
4.400,-7.430E-2,5.733E-2
4.433,-6.949E-2,5.728E-2
4.467,-6.467E-2,5.747E-2
4.500,-6.001E-2,5.750E-2
4.533,-5.541E-2,5.675E-2
4.567,-5.062E-2,5.647E-2
4.600,-4.378E-2,5.891E-2
4.633,-3.644E-2,6.434E-2
4.667,-2.908E-2,7.103E-2
4.700,-1.780E-2,7.577E-2
4.733,-8.206E-3,8.302E-2
4.767,1.464E-3,9.002E-2
4.800,1.548E-2,9.699E-2
4.833,2.945E-2,0.102
4.867,4.373E-2,0.109
4.900,5.790E-2,0.116
4.933,7.223E-2,0.121
4.967,8.657E-2,0.127
5.000,0.105,0.132
5.033,0.120,0.137
5.067,0.138,0.142
5.100,0.153,0.149
5.133,0.171,0.151
5.167,0.188,0.156
5.200,0.206,0.161
5.233,0.224,0.165
5.267,0.243,0.168
5.300,0.261,0.172
5.333,0.284,0.173
5.367,0.303,0.175
5.400,0.325,0.177
5.433,0.346,0.177
5.467,0.367,0.180
5.500,0.391,0.182
5.533,0.414,0.184
5.567,0.442,0.184
5.600,0.469,0.185
5.633,0.495,0.187
5.667,0.525,0.187
5.700,0.554,0.187
5.733,0.586,0.187
5.767,0.618,0.187
5.800,0.651,0.187
5.833,0.686,0.186
5.867,0.723,0.184
5.900,0.759,0.182
5.933,0.796,0.180
5.967,0.834,0.177
6.000,0.874,0.175
6.033,0.914,0.172
6.067,0.955,0.170
6.100,0.995,0.167
6.133,1.037,0.164
6.167,1.079,0.160
6.200,1.122,0.158
6.233,1.167,0.154
6.267,1.209,0.151
