t,x,y
0.400,-1.240,9.238E-2
0.433,-1.203,9.438E-2
0.467,-1.167,9.393E-2
0.500,-1.132,9.477E-2
0.533,-1.096,9.537E-2
0.567,-1.063,9.700E-2
0.600,-1.030,9.735E-2
0.633,-0.999,9.944E-2
0.667,-0.969,0.102
0.700,-0.941,0.102
0.733,-0.914,0.102
0.767,-0.889,0.102
0.800,-0.865,0.102
0.833,-0.841,0.102
0.867,-0.820,0.102
0.900,-0.801,9.981E-2
0.933,-0.782,9.743E-2
0.967,-0.764,9.485E-2
1.000,-0.747,9.231E-2
1.033,-0.733,8.985E-2
1.067,-0.719,8.523E-2
1.100,-0.705,8.040E-2
1.133,-0.693,7.567E-2
1.167,-0.681,6.881E-2
1.200,-0.671,6.405E-2
1.233,-0.662,5.697E-2
1.267,-0.653,4.762E-2
1.300,-0.645,4.045E-2
1.333,-0.638,3.333E-2
1.367,-0.631,2.395E-2
1.400,-0.624,1.463E-2
1.433,-0.622,1.444E-2
1.467,-0.615,1.678E-2
1.533,-0.601,1.690E-2
1.567,-0.596,1.922E-2
1.600,-0.591,2.157E-2
1.633,-0.586,2.391E-2
1.667,-0.584,2.390E-2
1.700,-0.582,2.390E-2
1.733,-0.582,2.384E-2
1.767,-0.580,2.378E-2
1.800,-0.579,2.389E-2
1.833,-0.577,2.618E-2
1.867,-0.575,2.617E-2
1.900,-0.572,2.623E-2
1.933,-0.572,2.641E-2
1.967,-0.572,2.648E-2
2.000,-0.570,2.829E-2
2.033,-0.570,2.829E-2
2.067,-0.570,2.857E-2
2.100,-0.570,2.874E-2
2.133,-0.570,2.863E-2
2.167,-0.570,2.914E-2
2.200,-0.570,3.019E-2
2.233,-0.570,3.024E-2
2.267,-0.570,3.049E-2
2.300,-0.570,3.111E-2
2.333,-0.570,3.129E-2
2.367,-0.570,3.170E-2
2.400,-0.570,3.180E-2
2.433,-0.570,3.193E-2
2.467,-0.570,3.241E-2
2.500,-0.570,3.252E-2
2.533,-0.570,3.313E-2
2.567,-0.569,3.381E-2
2.600,-0.570,3.389E-2
2.633,-0.568,3.408E-2
2.667,-0.568,3.424E-2
2.700,-0.568,3.482E-2
2.733,-0.567,3.518E-2
2.767,-0.567,3.538E-2
2.800,-0.567,3.588E-2
2.833,-0.565,3.618E-2
2.867,-0.565,3.655E-2
2.900,-0.565,3.756E-2
2.933,-0.565,3.822E-2
2.967,-0.565,3.976E-2
3.000,-0.565,4.067E-2
3.033,-0.565,4.229E-2
3.067,-0.563,4.319E-2
3.100,-0.563,4.461E-2
3.133,-0.563,4.581E-2
3.167,-0.563,4.762E-2
3.200,-0.561,4.972E-2
3.233,-0.560,5.243E-2
3.267,-0.558,5.469E-2
3.300,-0.558,5.753E-2
3.333,-0.556,6.106E-2
3.367,-0.554,6.406E-2
3.400,-0.551,6.875E-2
3.433,-0.549,7.336E-2
3.467,-0.546,7.824E-2
3.500,-0.542,8.300E-2
3.533,-0.539,8.990E-2
3.567,-0.535,9.479E-2
3.633,-0.521,0.137
3.667,-0.514,0.144
3.700,-0.507,0.153
3.733,-0.504,0.162
3.767,-0.498,0.172
3.800,-0.491,0.182
3.833,-0.484,0.190
3.867,-0.476,0.200
3.900,-0.468,0.210
3.933,-0.460,0.220
3.967,-0.451,0.229
4.000,-0.442,0.241
4.033,-0.433,0.250
4.067,-0.423,0.260
4.100,-0.412,0.272
4.133,-0.403,0.281
4.167,-0.391,0.291
4.200,-0.381,0.300
4.233,-0.370,0.310
4.267,-0.358,0.321
4.300,-0.346,0.331
4.333,-0.332,0.342
4.367,-0.320,0.352
4.400,-0.306,0.363
4.433,-0.294,0.373
4.467,-0.280,0.383
4.500,-0.266,0.392
4.533,-0.252,0.402
4.567,-0.237,0.411
4.600,-0.223,0.420
4.633,-0.207,0.430
4.667,-0.195,0.437
4.700,-0.183,0.444
4.733,-0.169,0.451
4.767,-0.155,0.459
4.800,-0.141,0.465
4.833,-0.127,0.472
4.867,-0.112,0.479
4.900,-9.882E-2,0.485
4.933,-8.346E-2,0.490
4.967,-6.805E-2,0.496
5.000,-5.311E-2,0.500
5.033,-3.680E-2,0.505
5.067,-2.005E-2,0.509
5.100,-3.604E-3,0.514
5.133,1.435E-2,0.520
5.167,2.900E-2,0.522
5.200,4.976E-2,0.527
5.233,6.664E-2,0.529
5.267,8.767E-2,0.534
5.300,0.106,0.537
5.333,0.125,0.539
5.367,0.146,0.539
5.400,0.165,0.540
5.433,0.186,0.542
5.467,0.208,0.546
5.500,0.232,0.548
5.533,0.256,0.549
5.567,0.281,0.553
5.600,0.305,0.553
5.633,0.331,0.555
5.667,0.357,0.555
5.700,0.386,0.557
5.733,0.412,0.557
5.767,0.440,0.557
5.800,0.469,0.556
5.833,0.499,0.556
5.867,0.532,0.557
5.900,0.560,0.555
5.933,0.591,0.552
5.967,0.622,0.550
6.000,0.657,0.548
6.033,0.690,0.545
6.067,0.723,0.541
6.100,0.761,0.538
6.133,0.794,0.533
6.167,0.829,0.527
6.200,0.865,0.521
6.233,0.900,0.514
6.267,0.936,0.507
