Phalanges
t;x;y
0,000;-5,944E-2;5,615E-2
0,008;-3,146E-2;5,927E-2
0,017;-1,265E-2;5,875E-2
0,025;1,698E-2;6,040E-2
0,033;4,203E-2;6,022E-2
0,042;6,724E-2;5,693E-2
0,050;9,229E-2;5,676E-2
0,058;0,114;5,797E-2
0,067;0,138;5,771E-2
0,075;0,159;5,892E-2
0,083;0,181;5,858E-2
0,092;0,203;5,979E-2
0,100;0,223;6,092E-2
0,108;0,241;6,187E-2
0,117;0,258;6,282E-2
0,125;0,272;6,048E-2
0,133;0,286;5,970E-2
0,142;0,303;5,910E-2
0,150;0,313;5,650E-2
0,158;0,324;5,554E-2
0,167;0,333;5,606E-2
0,175;0,343;5,191E-2
0,183;0,349;5,069E-2
0,192;0,357;4,801E-2
0,200;0,364;4,523E-2
0,208;0,368;4,237E-2
0,217;0,374;4,007E-2
0,225;0,378;3,520E-2
0,233;0,383;3,165E-2
0,242;0,386;2,784E-2
0,250;0,390;2,353E-2
0,258;0,394;1,926E-2
0,267;0,398;1,491E-2
0,275;0,402;1,133E-2
0,283;0,406;1,017E-2
0,292;0,407;1,027E-2
0,300;0,408;9,673E-3
0,308;0,408;9,652E-3
0,317;0,408;9,636E-3
0,325;0,408;9,654E-3
0,333;0,408;9,655E-3
0,342;0,408;9,022E-3
0,350;0,408;1,030E-2
0,358;0,408;9,656E-3
0,367;0,408;9,655E-3
0,375;0,408;1,031E-2
0,383;0,408;9,688E-3
0,392;0,408;9,680E-3
0,400;0,408;9,678E-3
0,408;0,408;9,668E-3
0,417;0,408;9,671E-3
0,425;0,408;9,658E-3
0,433;0,408;9,660E-3
0,442;0,407;1,092E-2
0,450;0,407;1,090E-2
0,458;0,407;1,089E-2
0,467;0,407;1,155E-2
0,475;0,407;9,613E-3
0,483;0,406;1,085E-2
0,492;0,406;1,087E-2
0,500;0,406;1,021E-2
0,508;0,406;9,558E-3
0,517;0,406;9,544E-3
0,525;0,406;9,548E-3
0,533;0,405;9,512E-3
0,542;0,405;8,215E-3
0,550;0,405;8,848E-3
0,558;0,405;9,487E-3
0,567;0,404;8,828E-3
0,575;0,404;9,467E-3
0,583;0,404;9,443E-3
0,592;0,404;9,450E-3
0,600;0,404;1,006E-2
0,608;0,403;1,006E-2
0,617;0,403;1,005E-2
0,625;0,403;1,006E-2
0,633;0,403;1,071E-2
0,642;0,403;1,197E-2
0,650;0,403;1,197E-2
0,658;0,403;1,321E-2
0,667;0,402;1,387E-2
0,675;0,402;1,515E-2
0,683;0,402;1,579E-2
0,692;0,401;1,448E-2
0,700;0,400;1,567E-2
0,708;0,398;1,814E-2
0,717;0,395;1,933E-2
0,725;0,393;2,234E-2
0,733;0,392;2,684E-2
0,742;0,397;3,146E-2
0,750;0,399;3,796E-2
0,758;0,403;4,668E-2
0,767;0,407;5,459E-2
0,775;0,410;6,193E-2
0,783;0,415;6,993E-2
0,792;0,418;7,792E-2
0,800;0,423;8,716E-2
0,808;0,427;9,580E-2
0,817;0,431;0,106
0,825;0,434;0,115
0,833;0,438;0,125
0,842;0,441;0,135
0,850;0,446;0,146
0,858;0,449;0,156
0,867;0,454;0,166
0,875;0,458;0,177
0,883;0,463;0,188
0,892;0,469;0,198
0,900;0,475;0,209
0,908;0,481;0,220
0,917;0,488;0,230
0,925;0,495;0,240
0,933;0,503;0,250
0,942;0,511;0,260
0,950;0,520;0,270
