t,x,y,v_x,v_y,a_x,a_y
0.000,1.126E-3,6.421E-2,,,,
0.008,2.699E-2,6.440E-2,3.290,0.102,,
0.017,5.596E-2,6.591E-2,3.288,0.108,-12.09,1.989
0.025,8.179E-2,6.619E-2,3.020,9.393E-2,-14.83,-0.490
0.033,0.106,6.748E-2,3.032,0.131,2.946,4.132
0.042,0.132,6.837E-2,3.109,0.142,-11.33,1.342
0.050,0.158,6.985E-2,2.859,0.168,-22.46,3.977
0.058,0.180,7.117E-2,2.664,0.196,-9.409,2.636
0.067,0.202,7.311E-2,2.741,0.225,-17.30,2.459
0.075,0.226,7.492E-2,2.431,0.228,-14.80,0.907
0.083,0.243,7.690E-2,2.351,0.243,-14.68,-0.261
0.092,0.265,7.897E-2,2.351,0.227,-1.023,-4.562
0.100,0.282,8.068E-2,2.201,0.166,-24.77,-6.794
0.108,0.302,8.174E-2,2.050,0.108,-19.56,-6.465
0.117,0.316,8.248E-2,1.781,6.195E-2,-23.49,-10.99
0.125,0.331,8.277E-2,1.708,-6.575E-2,-7.542,-8.801
0.133,0.345,8.138E-2,1.633,-0.117,-15.48,-6.961
0.142,0.358,8.083E-2,1.482,-0.143,-18.19,-5.284
0.150,0.370,7.901E-2,1.293,-0.231,-16.72,-9.127
0.158,0.380,7.697E-2,1.219,-0.282,-9.225,-2.773
0.167,0.390,7.430E-2,1.141,-0.291,-9.306,-4.321
0.175,0.399,7.213E-2,1.062,-0.331,-14.17,-8.555
0.183,0.408,6.879E-2,0.916,-0.450,-16.42,-7.470
0.192,0.414,6.463E-2,0.767,-0.465,-9.362,-1.874
0.200,0.420,6.105E-2,0.760,-0.460,-6.556,1.517
0.208,0.427,5.697E-2,0.688,-0.458,-9.035,-2.245
0.217,0.432,5.342E-2,0.576,-0.476,-11.04,0.789
0.225,0.437,4.903E-2,0.523,-0.472,5.962,1.346
0.233,0.441,4.556E-2,0.640,-0.429,2.950,-2.608
0.242,0.447,4.188E-2,0.648,-0.516,-7.387,-6.021
0.250,0.451,3.696E-2,0.455,-0.554,-16.94,-4.123
0.258,0.455,3.265E-2,0.382,-0.558,-1.227,1.111
0.267,0.458,2.766E-2,0.419,-0.558,2.621,-1.551
0.275,0.462,2.335E-2,0.456,-0.560,4.531,-9.043
0.283,0.465,1.833E-2,0.468,-0.711,-9.119,-1.381
0.292,0.470,1.150E-2,0.347,-0.635,-20.08,24.16
0.300,0.471,7.750E-3,9.102E-2,-0.266,-20.59,34.36
0.308,0.471,7.058E-3,2.307E-3,-4.188E-2,-6.043,14.26
0.317,0.471,7.052E-3,2.643E-3,-3.775E-2,-3.215E-2,1.980
0.325,0.471,6.428E-3,2.267E-3,-3.156E-2,-0.313,0.895
0.333,0.471,6.526E-3,-2.542E-3,-3.046E-3,0.188,1.679
0.342,0.471,6.378E-3,3.221E-3,-1.447E-2,0.227,-2.034
0.350,0.471,6.285E-3,5.431E-3,-3.103E-2,-6.285E-2,-9.894E-2
0.358,0.471,5.861E-3,-1.260E-3,-2.587E-2,2.195,1.022
0.367,0.471,5.854E-3,3.767E-2,-3.591E-3,-1.125,1.798
0.375,0.472,5.801E-3,1.574E-3,-1.052E-3,-2.503,-2.421
0.383,0.471,5.836E-3,-3.613E-2,-3.623E-2,-1.547,-1.206
0.392,0.471,5.197E-3,-2.544E-3,-3.890E-2,2.473,0.762
0.400,0.471,5.188E-3,-1.711E-3,-6.197E-3,-0.410,3.281
0.408,0.471,5.094E-3,-6.465E-3,6.383E-3,0.258,0.219
