t,x,y,v_x,v_y,a_x,a_y
0.000,-0.135,0.122,,,,
0.008,-0.111,0.115,2.828,-0.656,,
0.017,-8.796E-2,0.111,2.996,-0.324,9.751,34.14
0.025,-6.083E-2,0.109,3.100,-0.125,-0.451,15.87
0.033,-3.630E-2,0.109,2.912,-2.600E-2,-21.60,-13.54
0.042,-1.230E-2,0.109,2.769,-0.339,-8.395,-17.97
0.050,9.849E-3,0.104,2.734,-0.428,-30.46,0.512
0.058,3.326E-2,0.102,2.362,-0.236,-17.00,32.68
0.067,4.922E-2,9.974E-2,2.262,4.872E-2,-13.47,15.37
0.075,7.097E-2,0.103,2.340,0.130,-3.349,5.110
0.083,8.821E-2,0.102,2.078,2.186E-2,-20.25,-4.380
0.092,0.106,0.103,2.049,0.113,-13.09,-10.31
0.100,0.122,0.104,1.868,-0.130,-7.035,-16.31
0.108,0.137,0.101,1.875,-0.245,-10.44,-4.466
0.117,0.154,9.972E-2,1.791,-0.132,-12.14,25.88
0.125,0.167,9.850E-2,1.581,0.126,-20.35,10.78
0.133,0.180,0.102,1.506,0.161,-2.272,-31.97
0.142,0.192,0.101,1.498,-0.459,16.16,-15.99
0.150,0.205,9.418E-2,1.788,-0.264,-3.887,16.67
0.158,0.221,9.679E-2,1.540,7.317E-2,-34.85,14.55
0.167,0.231,9.540E-2,1.057,-0.172,-34.27,-19.63
0.175,0.239,9.393E-2,1.021,-0.215,-7.872,-2.263
0.183,0.248,9.181E-2,0.944,-0.224,-8.484,0.623
0.192,0.255,9.019E-2,0.857,-0.191,-10.94,2.122E-2
0.200,0.262,8.862E-2,0.781,-0.222,-10.13,-4.585
0.208,0.268,8.648E-2,0.674,-0.275,-8.778,-3.198
0.217,0.273,8.404E-2,0.635,-0.278,-5.315,9.553E-2
0.225,0.278,8.185E-2,0.595,-0.266,-6.024,-7.852E-3
0.233,0.283,7.960E-2,0.529,-0.280,-6.151,-3.728
0.242,0.287,7.718E-2,0.491,-0.326,-2.764,-4.397
0.250,0.291,7.417E-2,0.484,-0.362,-0.761,-2.418
0.258,0.295,7.115E-2,0.480,-0.361,-7.137E-2,-2.368
0.267,0.299,6.815E-2,0.481,-0.396,-1.814,-1.394
0.275,0.303,6.455E-2,0.457,-0.399,-3.458,0.909
0.283,0.307,6.149E-2,0.415,-0.367,-8.616,4.704
0.292,0.310,5.844E-2,0.325,-0.330,-14.63,5.777
0.300,0.312,5.598E-2,0.163,-0.265,-16.59,8.223
0.308,0.313,5.403E-2,4.115E-2,-0.195,-9.051,6.563
0.317,0.313,5.273E-2,1.214E-2,-0.149,9.885E-2,7.984
0.325,0.313,5.154E-2,4.691E-2,-7.549E-2,4.031,5.318
0.333,0.314,5.147E-2,8.399E-2,-3.826E-2,2.210,3.884
0.342,0.315,5.090E-2,8.462E-2,-3.386E-2,-0.510,-0.859
0.350,0.315,5.091E-2,7.139E-2,-3.358E-2,-0.760,3.868
0.358,0.316,5.034E-2,7.209E-2,5.481E-3,-4.543,-0.185
0.367,0.316,5.100E-2,6.935E-3,3.136E-4,-4.626,-0.375
0.375,0.316,5.035E-2,-2.975E-2,-3.917E-2,-1.619,-1.652
0.383,0.316,5.034E-2,-6.440E-4,-4.336E-3,1.973,0.244
0.392,0.316,5.027E-2,-2.452E-3,-3.763E-2,-9.104E-2,-1.268
0.400,0.316,4.972E-2,-1.401E-3,-3.745E-2,4.298E-2,-1.040
0.408,0.316,4.965E-2,-1.870E-3,-3.808E-2,0.431,0.818
0.417,0.316,4.908E-2,4.700E-3,-4.055E-2,0.324,1.297
0.425,0.316,4.897E-2,6.329E-3,-5.377E-3,1.875E-2,2.375
0.433,0.316,4.899E-2,2.314E-3,-2.112E-3,-0.357,0.221
0.442,0.316,4.894E-2,1.775E-3,-4.321E-3,-0.118,0.206
0.450,0.316,4.892E-2,-3.266E-4,1.944E-3,-8.339E-2,0.787
0.458,0.316,4.897E-2,4.299E-4,9.226E-3,0.101,0.112
0.467,0.316,4.907E-2,1.651E-3,5.135E-3,4.117E-3,1.683
0.475,0.316,4.906E-2,5.930E-4,3.016E-2,-0.470,1.118
0.483,0.316,4.958E-2,-5.833E-3,3.757E-2,-0.384,-0.506
0.492,0.316,4.968E-2,-7.589E-3,1.036E-2,0.219,-0.283
0.500,0.316,4.975E-2,-9.428E-4,3.226E-2,5.028E-2,1.222
0.508,0.316,5.022E-2,-5.235E-3,4.031E-2,-0.292,3.800
0.517,0.316,5.042E-2,-8.961E-3,7.957E-2,-0.102,3.047
0.525,0.316,5.155E-2,-4.826E-3,0.112,0.245,3.490
0.533,0.316,5.230E-2,-5.230E-3,0.119,0.171,1.195
0.542,0.316,5.353E-2,-2.705E-3,0.145,2.211,3.124
0.550,0.316,5.471E-2,2.865E-2,0.163,3.379,3.079
0.558,0.316,5.625E-2,6.063E-2,0.201,2.330,4.052
0.567,0.317,5.805E-2,6.456E-2,0.230,0.347,4.732
0.575,0.317,6.008E-2,6.571E-2,0.276,2.498,7.005
0.583,0.318,6.265E-2,0.102,0.348,5.716,7.034
0.592,0.319,6.588E-2,0.166,0.398,3.481,5.772
0.600,0.321,6.929E-2,0.167,0.438,3.866,4.922
0.608,0.322,7.318E-2,0.208,0.484,5.198,5.085
0.617,0.324,7.737E-2,0.278,0.521,5.064,4.040
0.625,0.326,8.187E-2,0.282,0.553,3.018,0.120
0.633,0.329,8.658E-2,0.324,0.529,6.201,-0.385
0.642,0.332,9.069E-2,0.392,0.529,6.643,3.568
0.650,0.335,9.540E-2,0.436,0.599,5.440,6.345
0.658,0.339,0.101,0.478,0.639,6.174,0.890
0.667,0.343,0.106,0.540,0.615,6.301,-2.828
0.675,0.348,0.111,0.587,0.583,5.837,7.296E-2
0.683,0.353,0.116,0.632,0.614,6.909,1.267
0.692,0.358,0.121,0.703,0.619,3.574,-1.447
0.700,0.365,0.126,0.704,0.578,0.903,-2.201
0.708,0.370,0.131,0.696,0.581,-3.676,2.541E-2
0.717,0.376,0.136,0.666,0.585,-7.878E-2,5.341
0.725,0.381,0.141,0.664,0.655,-2.766,7.103
0.733,0.387,0.147,0.656,0.728,-0.995,7.947
0.742,0.392,0.153,0.616,0.768,-3.761,1.689
0.750,0.398,0.159,0.615,0.775,0.845,1.822
0.758,0.403,0.166,0.614,0.776,-1.136,3.384
0.767,0.408,0.172,0.612,0.844,-1.739,4.140
0.775,0.413,0.180,0.574,0.851,2.482,4.486
0.783,0.417,0.187,0.644,0.898,2.350,5.457
0.792,0.423,0.195,0.648,0.965,9.162E-2,4.809
0.800,0.428,0.203,0.608,0.967,0.961,2.844
0.808,0.434,0.211,0.679,1.009,8.936,3.700
0.817,0.440,0.219,0.756,1.040,3.989,2.696
0.825,0.446,0.228,0.758,1.045,1.347,0.583
0.833,0.452,0.237,0.756,1.054,-1.364,-1.937
0.842,0.459,0.246,0.757,1.016,4.026,0.962
0.850,0.465,0.254,0.796,1.050,5.506,-0.281
0.858,0.472,0.263,0.876,1.047,4.994,3.202
0.867,0.479,0.271,0.870,1.060,2.392,-1.344
0.875,0.487,0.281,0.907,1.070,6.461,2.453
0.883,0.494,0.289,0.986,1.058,6.887,-2.823
0.892,0.503,0.298,1.025,1.061,2.902,0.168
0.900,0.512,0.307,1.030,1.030,2.719,-2.906
0.908,0.520,0.316,1.066,1.033,3.968,1.029
0.917,0.529,0.324,1.105,1.032,5.402,-1.164
0.925,0.539,0.333,1.147,1.029,6.938,-1.020
0.933,0.548,0.341,1.224,1.003,12.11,-6.596
0.942,0.559,0.350,1.344,0.934,,
0.950,0.571,0.357,,,,
