t,x,y
0.267,-1.391,0.680
0.300,-1.368,0.683
0.333,-1.341,0.682
0.367,-1.316,0.683
0.400,-1.290,0.686
0.433,-1.264,0.686
0.467,-1.240,0.686
0.500,-1.217,0.687
0.533,-1.196,0.688
0.567,-1.174,0.688
0.600,-1.153,0.688
0.633,-1.131,0.686
0.667,-1.109,0.687
0.700,-1.087,0.687
0.733,-1.066,0.686
0.767,-1.047,0.684
0.800,-1.027,0.682
0.833,-1.007,0.681
0.867,-0.986,0.680
0.900,-0.966,0.677
0.933,-0.948,0.675
0.967,-0.929,0.674
1.000,-0.910,0.672
1.033,-0.891,0.668
1.067,-0.872,0.665
1.100,-0.854,0.661
1.133,-0.836,0.656
1.167,-0.819,0.654
1.200,-0.800,0.648
1.233,-0.784,0.643
1.267,-0.766,0.636
1.300,-0.750,0.630
1.333,-0.734,0.625
1.367,-0.717,0.618
1.400,-0.700,0.611
1.433,-0.684,0.605
1.467,-0.669,0.596
1.500,-0.654,0.588
1.533,-0.641,0.579
1.567,-0.627,0.570
1.600,-0.611,0.562
1.633,-0.594,0.554
1.667,-0.576,0.548
1.700,-0.556,0.542
1.733,-0.539,0.537
1.767,-0.522,0.535
1.800,-0.506,0.535
1.833,-0.488,0.539
1.867,-0.466,0.542
1.900,-0.448,0.546
1.933,-0.431,0.549
1.967,-0.417,0.550
2.000,-0.403,0.552
2.033,-0.390,0.552
2.067,-0.377,0.553
2.100,-0.367,0.552
2.133,-0.358,0.549
2.167,-0.346,0.546
2.200,-0.337,0.544
2.233,-0.329,0.540
2.267,-0.320,0.536
2.300,-0.311,0.530
2.333,-0.304,0.526
2.367,-0.296,0.521
2.400,-0.289,0.518
2.433,-0.283,0.513
2.467,-0.276,0.512
2.500,-0.270,0.508
2.533,-0.264,0.505
2.567,-0.257,0.503
2.600,-0.251,0.501
2.633,-0.245,0.500
2.667,-0.240,0.496
2.700,-0.235,0.493
2.733,-0.230,0.492
2.767,-0.225,0.489
2.800,-0.221,0.488
2.833,-0.216,0.486
2.867,-0.211,0.484
2.900,-0.207,0.483
2.933,-0.204,0.480
2.967,-0.201,0.479
3.000,-0.198,0.478
3.033,-0.195,0.478
3.067,-0.193,0.478
3.100,-0.191,0.478
3.133,-0.189,0.478
3.167,-0.188,0.478
3.200,-0.186,0.478
3.233,-0.185,0.479
3.267,-0.184,0.480
3.300,-0.181,0.482
3.333,-0.181,0.484
3.367,-0.179,0.487
3.400,-0.177,0.491
3.433,-0.174,0.495
3.467,-0.173,0.499
3.500,-0.169,0.505
3.533,-0.167,0.510
3.567,-0.164,0.516
3.600,-0.161,0.522
3.633,-0.157,0.528
3.667,-0.154,0.535
3.700,-0.151,0.542
3.733,-0.146,0.549
3.767,-0.140,0.556
3.800,-0.134,0.564
3.833,-0.128,0.572
3.867,-0.121,0.580
3.900,-0.114,0.589
3.933,-0.106,0.598
3.967,-9.753E-2,0.606
4.000,-8.904E-2,0.615
4.033,-7.938E-2,0.624
4.067,-6.932E-2,0.632
4.100,-5.818E-2,0.641
4.133,-4.805E-2,0.650
4.167,-3.628E-2,0.658
4.200,-2.453E-2,0.666
4.233,-1.267E-2,0.674
4.267,-7.392E-4,0.681
4.300,1.269E-2,0.688
4.333,2.671E-2,0.694
4.367,3.908E-2,0.701
4.400,5.448E-2,0.707
4.433,6.936E-2,0.712
4.467,8.600E-2,0.717
4.500,0.102,0.721
4.533,0.119,0.726
4.567,0.136,0.731
4.600,0.154,0.735
4.633,0.173,0.738
4.667,0.192,0.741
4.700,0.211,0.745
4.733,0.232,0.747
4.767,0.253,0.750
4.800,0.273,0.752
4.833,0.294,0.755
4.867,0.315,0.757
4.900,0.336,0.758
4.933,0.358,0.760
4.967,0.380,0.762
5.000,0.402,0.764
5.033,0.425,0.766
5.067,0.449,0.766
5.100,0.473,0.767
5.133,0.497,0.767
5.167,0.522,0.767
5.200,0.546,0.767
5.233,0.570,0.766
5.267,0.596,0.766
5.300,0.621,0.765
5.333,0.647,0.764
5.367,0.674,0.762
5.400,0.700,0.760
5.433,0.728,0.758
5.467,0.756,0.756
5.500,0.784,0.753
5.533,0.812,0.749
5.567,0.841,0.746
5.600,0.869,0.742
5.633,0.900,0.739
5.667,0.930,0.735
5.700,0.961,0.730
5.733,0.994,0.727
5.767,1.027,0.723
5.800,1.060,0.718
5.833,1.094,0.716
5.867,1.129,0.711
5.900,1.164,0.708
5.933,1.197,0.704
5.967,1.230,0.701
6.000,1.268,0.697
6.033,1.303,0.694
6.067,1.339,0.692
6.100,1.377,0.690
6.133,1.410,0.689
6.167,1.445,0.687
6.200,1.478,0.687
6.233,1.516,0.685
6.267,1.542,0.685
